Date,Type,Category,Amount
2022-01-01,Income,Salary,926.09
2022-01-01,Expense,Utilities,266.67
2022-01-01,Expense,Transport,83.43
2022-01-01,Expense,Insurance,79.08
2022-01-02,Income,Salary,1932.83
2022-01-02,Expense,Utilities,234.67
2022-01-02,Expense,Shopping,63.03
2022-01-02,Expense,Transportation,198.09
2022-01-02,Expense,Health,251.34
2022-01-02,Expense,Transport,142.96
2022-01-03,Income,Freelance,150.43
2022-01-03,Income,Salary,316.13
2022-01-03,Expense,Food,61.85
2022-01-03,Expense,Transport,13.9
2022-01-03,Expense,Entertainment,149.02
2022-01-04,Income,Rental Income,568.84
2022-01-04,Income,Rental Income,2984.53
2022-01-04,Expense,Bills,137.06
2022-01-04,Expense,Health,255.47
2022-01-05,Income,Rental Income,3917.18
2022-01-05,Income,Rental Income,730.56
2022-01-05,Expense,Utilities,105.98
2022-01-05,Expense,Subscriptions,115.82
2022-01-05,Expense,Shopping,11.97
2022-01-05,Expense,Health,84.09
2022-01-05,Expense,Subscriptions,252.28
2022-01-06,Income,Salary,1047.51
2022-01-06,Expense,Transportation,100.43
2022-01-06,Expense,Insurance,74.76
2022-01-06,Expense,Entertainment,97.16
2022-01-07,Income,Freelance,3626.23
2022-01-07,Expense,Utilities,290.39
2022-01-07,Expense,Transportation,150.97
2022-01-07,Expense,Health,33.86
2022-01-07,Expense,Shopping,143.11
2022-01-08,Income,Rental Income,1284.25
2022-01-08,Income,Gifts,4635.27
2022-01-08,Expense,Health,201.69
2022-01-08,Expense,Travel,70.55
2022-01-08,Expense,Health,196.42
2022-01-08,Expense,Entertainment,266.77
2022-01-09,Income,Rental Income,2417.81
2022-01-09,Income,Freelance,1647.06
2022-01-09,Expense,Food,223.56
2022-01-09,Expense,Entertainment,159.92
2022-01-09,Expense,Utilities,128.66
2022-01-10,Income,Rental Income,2455.52
2022-01-10,Expense,Transportation,146.5
2022-01-10,Expense,Health,32.43
2022-01-11,Income,Rental Income,4208.86
2022-01-11,Income,Gifts,744.08
2022-01-11,Expense,Other,153.7
2022-01-11,Expense,Transport,260.89
2022-01-11,Expense,Insurance,144.89
2022-01-12,Income,Gifts,3692.43
2022-01-12,Income,Investments,2578.21
2022-01-12,Expense,Transportation,264.65
2022-01-12,Expense,Subscriptions,76.48
2022-01-12,Expense,Travel,108.86
2022-01-12,Expense,Other,60.19
2022-01-13,Income,Investments,3044.0
2022-01-13,Expense,Utilities,94.15
2022-01-13,Expense,Bills,83.92
2022-01-13,Expense,Insurance,84.74
2022-01-14,Income,Salary,1383.9
2022-01-14,Income,Rental Income,3380.18
2022-01-14,Expense,Subscriptions,203.74
2022-01-14,Expense,Subscriptions,10.3
2022-01-14,Expense,Transport,124.19
2022-01-15,Income,Investments,918.73
2022-01-15,Expense,Food,251.59
2022-01-15,Expense,Bills,83.04
2022-01-15,Expense,Shopping,208.0
2022-01-15,Expense,Food,205.75
2022-01-16,Income,Salary,3692.14
2022-01-16,Income,Gifts,3615.65
2022-01-16,Expense,Transportation,81.16
2022-01-16,Expense,Health,164.99
2022-01-16,Expense,Entertainment,186.37
2022-01-16,Expense,Entertainment,217.04
2022-01-17,Income,Freelance,3891.75
2022-01-17,Income,Investments,3053.93
2022-01-17,Expense,Travel,224.37
2022-01-17,Expense,Travel,275.13
2022-01-17,Expense,Other,91.51
2022-01-17,Expense,Transport,195.34
2022-01-18,Income,Investments,431.15
2022-01-18,Income,Gifts,1908.35
2022-01-18,Expense,Health,37.59
2022-01-18,Expense,Health,274.62
2022-01-18,Expense,Travel,40.62
2022-01-18,Expense,Education,130.23
2022-01-18,Expense,Other,115.78
2022-01-19,Income,Salary,3987.45
2022-01-19,Expense,Transport,5.86
2022-01-19,Expense,Food,121.88
2022-01-19,Expense,Transportation,54.67
2022-01-19,Expense,Travel,204.0
2022-01-20,Income,Investments,2041.5
2022-01-20,Income,Rental Income,3259.55
2022-01-20,Expense,Other,34.22
2022-01-20,Expense,Travel,94.26
2022-01-20,Expense,Utilities,131.79
2022-01-20,Expense,Food,22.26
2022-01-20,Expense,Transport,108.74
2022-01-21,Income,Investments,1046.91
2022-01-21,Income,Investments,3629.66
2022-01-21,Expense,Utilities,54.57
2022-01-21,Expense,Other,164.36
2022-01-21,Expense,Education,220.44
2022-01-22,Income,Investments,3853.59
2022-01-22,Expense,Education,272.51
2022-01-22,Expense,Utilities,249.61
2022-01-23,Income,Rental Income,2855.53
2022-01-23,Expense,Travel,58.22
2022-01-23,Expense,Utilities,221.23
2022-01-23,Expense,Education,51.81
2022-01-24,Income,Rental Income,1129.3
2022-01-24,Income,Salary,4904.47
2022-01-24,Expense,Entertainment,65.99
2022-01-24,Expense,Utilities,64.95
2022-01-25,Income,Gifts,2048.67
2022-01-25,Income,Investments,4098.83
2022-01-25,Expense,Other,299.99
2022-01-25,Expense,Utilities,29.07
2022-01-25,Expense,Entertainment,217.77
2022-01-25,Expense,Other,9.09
2022-01-25,Expense,Health,7.11
